Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Referee,Match Report,Notes,Shots on target against,Saves,Save %,Clean sheets,PSxG,PSxG+/-,40+ yard GK passes completed,40+ yard GK passes attempted,40+ yard GK completion %,GK open play passes attempted,GK throws attempted,% of passes launched by GK,Average length of GK pass,Goalkicks attempted,% of goakicks launched,Average length of goalkicks,Opposition crosses into area,Penalty area crosses stopped,Penalty area crosses stopped %,Def actions outside penalty area by GK,Average distance of GK def actions,Goals,Pens scored,Pens attempted,Shots,Shots on target,Free-kick shots,Shot on target %,Goals/Shot,Goals/Shots on target,npxG,npxG/Shot,Goals-xG,np:Goals-xG,Total passes completed,Total passes attempted,Total pass %,Total distance of passes,Progressive distance of passes,Short passes completed,Short passes attempted,Short pass %,Medium passes completed,Medium passes attempted,Medium pass %,Long passes completed,Long passes attempted,Long pass %,Assists,xA,Key passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Live passes,Dead ball passes,Free-kick passes,Through balls,Passes under pressure,Switches,Crosses,Corners,In-swinging corners,Out-swinging corners,Straight corners,Ground passes,Low passes,High passes,Left foot passes,Right foot passes,Headed passes,Throws taken,Other body part passes,Offsides,Out of bounds passes,Intercepted passes,Blocked passes,SCA,Live pass SCA,Dead ball SCA,Dribble SCA,Shot SCA,Foul SCA,GCA,Live pass GCA,Dead ball GCA,Dribble GCA,Shot GCA,Foul GCA,Own goal GCA,Tackles attempted,Tackles won,Tackles in def 3rd,Tackles in mid 3rd,Tackles in final 3rd,Tackles won against dribbles,Tackles attempted vs dribbles,Tackle% against dribbles,# Dribbled past,Pressures,Successful pressures,Pressure success %,Pressures in def 3rd,Pressures in mid 3rd,Pressures in final 3rd,Blocks,Shots blocked,Shots on target blocked,Passes blocked,Interceptions,Clearances,Errors,Touches,Touches in def area,Touches in def 3rd,Touches in middle 3rd,Touches in final 3rd,Touches in opposition pen area,Live ball touches,Successful dribbles,Attempted dribbles,Dribble success %,#Players dribbled past,Nutmegs,Carries,Total distance of carries,Progressive distance of carries,Targets,Balls received %,Miscontrols,Dispossessed,Points taken
2019-08-17,15:00 (19:30),Matchweek 2,Sat,Home,L,1,2,Liverpool,1.6,1.5,37,31712.0,Pierre Højbjerg,3-5-2,Andre Marriner,Match Report,,5,3,0.6,0,1.4,-0.6,8,21,38.1,14,2,92.9,60.0,8,100.0,63.4,13,0,0.0,1,20.0,1,0,0,11,3,0,27.3,0.09,0.33,1.6,0.15,-0.6,-0.6,225,335,67.2,4527,1767,3,14,21.4,170,213,79.8,52,108,48.1,0,0.9,5,18,3,1,41,286,49,7,0,48,23,19,5,4,1,0,163,56,116,58,211,27,26,6,4,13,8,14,11,7,1,2,1,0,0,0,0,0,0,0,0,21,14,9,10,2,6,15,40.0,9,173,47,27.2,57,74,42,24,3,0,21,10,48,0,474,59,136,222,134,21,426,10,13,76.9,11,0,238,1228,556,307,73.3,15,2,0
2019-08-24,15:00 (19:30),Matchweek 3,Sat,Away,W,2,0,Brighton,1.6,1.0,48,30019.0,Pierre Højbjerg,4-2-2-2,Kevin Friend,Match Report,,3,3,1.0,1,0.3,0.3,5,19,26.3,18,6,55.6,45.6,10,90.0,64.6,9,0,0.0,1,14.7,2,0,0,12,4,2,33.3,0.17,0.5,1.6,0.16,0.4,0.4,321,418,76.8,6097,2116,5,10,50.0,251,290,86.6,65,118,55.1,2,1.4,8,15,8,0,37,372,46,8,0,52,15,7,5,4,1,0,238,80,100,51,295,29,22,10,0,8,12,4,20,12,1,4,1,2,4,3,0,1,0,0,0,22,12,14,6,2,9,20,45.0,11,190,44,23.2,55,73,62,18,2,0,16,3,25,0,539,56,167,265,142,18,492,10,16,62.5,10,0,330,2123,1244,403,79.7,17,12,3
2019-08-31,12:30 (17:00),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,0.8,1.7,40,30499.0,Pierre Højbjerg,4-4-2,Mike Dean,Match Report,,8,7,0.875,0,2.0,1.0,5,20,25.0,19,4,57.9,41.7,10,90.0,63.3,11,1,9.1,1,18.2,1,0,0,11,2,0,18.2,0.09,0.5,0.8,0.08,0.2,0.2,295,393,75.1,5571,2019,4,12,33.3,229,265,86.4,62,116,53.4,1,0.7,7,19,8,3,29,349,44,8,1,64,11,19,2,1,1,0,235,47,111,55,277,22,22,7,0,11,4,12,13,10,1,1,1,0,2,1,0,0,1,0,0,27,17,12,12,3,15,30,50.0,15,193,41,21.2,65,75,53,24,4,0,20,19,49,0,562,78,203,228,164,17,519,6,16,37.5,6,0,288,1750,928,345,85.5,18,10,1
2019-09-14,15:00 (19:30),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,1.2,1.8,51,30985.0,Pierre Højbjerg,3-4-3,Lee Mason,Match Report,,4,4,1.0,1,1.0,1.0,5,18,27.8,21,3,47.6,41.0,10,80.0,65.1,12,0,0.0,0,13.0,1,0,0,12,7,0,58.3,0.08,0.14,1.2,0.1,-0.2,-0.2,387,500,77.4,7322,2492,7,18,38.9,298,331,90.0,82,151,54.3,1,0.5,9,23,5,0,30,447,53,13,0,72,9,19,6,0,4,2,323,65,112,84,351,24,23,8,1,5,5,9,21,9,2,7,0,3,2,0,0,1,0,1,0,12,4,7,4,1,2,14,14.3,12,192,62,32.3,78,83,31,24,4,0,20,9,41,0,642,72,234,292,146,21,590,22,26,84.6,22,2,381,2134,1062,472,82.0,17,16,3
2019-09-20,20:00 (00:30),Matchweek 6,Fri,Home,L,1,3,Bournemouth,2.2,1.3,65,30168.0,Pierre Højbjerg,4-2-2-2,Chris Kavanagh,Match Report,,3,0,0.0,0,2.0,-1.0,1,10,10.0,14,2,35.7,33.9,6,83.3,58.2,1,0,0.0,2,14.3,1,1,1,24,6,0,25.0,0.0,0.0,1.5,0.07,-1.2,-1.5,455,581,78.3,8420,2676,10,18,55.6,346,399,86.7,99,164,60.4,0,1.1,18,37,13,3,55,523,58,10,0,159,8,23,4,2,2,0,389,84,108,103,403,28,34,6,0,10,5,11,38,33,2,1,1,1,2,1,0,0,0,1,0,33,24,14,14,5,22,41,53.7,19,211,82,38.9,43,97,71,19,2,0,17,9,36,1,727,37,193,360,214,38,668,9,11,81.8,10,0,483,2586,1345,558,81.5,9,11,0
2019-09-28,15:00 (19:30),Matchweek 7,Sat,Away,L,1,2,Tottenham,1.5,0.9,59,59645.0,Pierre Højbjerg,3-4-1-2,Graham Scott,Match Report,,4,2,0.5,0,1.5,-0.5,4,7,57.1,9,1,55.6,43.1,6,33.3,35.0,4,0,0.0,1,41.0,1,0,0,15,6,1,40.0,0.07,0.17,1.5,0.1,-0.5,-0.5,479,567,84.5,8768,2556,12,20,60.0,380,419,90.7,87,128,68.0,0,0.5,10,41,14,2,45,525,42,5,0,106,12,24,6,5,0,0,418,58,91,118,393,21,22,2,1,7,6,9,21,13,3,1,1,3,0,0,0,0,0,0,0,22,13,9,7,6,16,38,42.1,22,130,32,24.6,34,58,38,10,2,0,8,9,22,0,680,36,135,328,258,32,639,7,16,43.8,7,0,433,2549,1450,550,87.1,16,12,0
2019-10-06,14:00 (18:30),Matchweek 8,Sun,Home,L,1,4,Chelsea,1.0,1.9,42,31473.0,Pierre Højbjerg,4-3-3,Paul Tierney,Match Report,,7,3,0.429,0,2.5,-1.5,5,26,19.2,27,2,77.8,51.9,5,100.0,64.2,6,0,0.0,0,16.2,1,0,0,10,2,1,20.0,0.1,0.5,1.0,0.1,0.0,0.0,283,394,71.8,5092,1606,3,14,21.4,224,270,83.0,56,110,50.9,0,0.3,6,11,5,0,27,346,48,14,1,63,6,11,3,1,1,0,231,61,102,67,261,29,21,5,1,6,8,15,13,9,2,0,0,2,0,0,0,0,0,0,0,20,11,8,9,3,7,16,43.8,9,192,48,25.0,63,77,52,20,4,0,16,10,45,2,542,58,185,257,119,14,496,8,16,50.0,8,0,278,1516,753,374,75.7,9,19,0
2019-10-19,15:00 (19:30),Matchweek 9,Sat,Away,D,1,1,Wolves,1.4,0.9,43,30915.0,Pierre Højbjerg,3-4-3,Peter Bankes,Match Report,,0,0,,0,0.9,-0.1,4,21,19.0,20,3,75.0,54.1,7,85.7,60.0,8,2,25.0,1,15.0,1,0,0,14,5,1,35.7,0.07,0.2,1.4,0.1,-0.4,-0.4,305,399,76.4,5830,2125,4,12,33.3,233,270,86.3,68,117,58.1,0,0.7,10,24,9,1,41,361,38,10,0,61,10,11,3,2,1,0,248,52,99,92,253,22,16,5,2,13,3,9,19,13,3,0,1,2,0,0,0,0,0,0,0,16,10,4,7,5,6,18,33.3,12,128,43,33.6,42,55,31,10,0,0,10,11,37,0,526,51,137,298,115,20,487,12,22,54.5,13,0,304,1778,980,353,86.4,16,3,1
2019-10-25,20:00 (00:30),Matchweek 10,Fri,Home,L,0,9,Leicester City,0.4,3.6,29,28762.0,Pierre Højbjerg,3-5-2,Andre Marriner,Match Report,,15,7,0.467,0,6.1,-2.9,4,21,19.0,15,0,100.0,71.2,6,100.0,66.3,11,3,27.3,0,7.5,0,0,0,6,3,1,50.0,0.0,0.0,0.4,0.06,-0.4,-0.4,185,297,62.3,3368,1243,4,14,28.6,143,184,77.7,38,99,38.4,0,0.2,3,24,2,0,17,246,51,11,0,76,11,7,2,0,2,0,145,68,84,46,203,8,23,3,1,11,5,12,9,6,1,1,0,1,0,0,0,0,0,0,0,29,26,12,13,4,7,33,21.2,26,215,56,26.0,84,91,40,21,5,0,16,15,18,3,423,50,149,204,97,8,372,24,28,85.7,24,0,247,1324,661,268,69.0,12,22,0
2019-11-02,15:00 (20:30),Matchweek 11,Sat,Away,L,1,2,Manchester City,0.6,2.9,25,53922.0,Pierre Højbjerg,3-5-2,Lee Mason,Match Report,,4,2,0.5,0,2.2,0.2,8,30,26.7,21,1,85.7,62.4,13,92.3,64.3,30,3,10.0,0,5.4,1,0,0,3,3,0,100.0,0.33,0.33,0.6,0.2,0.4,0.4,157,249,63.1,3490,1391,4,9,44.4,108,141,76.6,45,99,45.5,0,0.1,2,10,1,0,14,206,43,14,0,92,4,3,0,0,0,0,121,34,94,28,168,22,13,1,0,15,4,3,5,4,0,0,1,0,1,0,0,0,1,0,0,26,17,26,0,0,9,37,24.3,28,200,58,29.0,145,41,14,41,16,0,25,11,64,1,428,156,249,141,57,5,386,13,23,56.5,15,1,178,1162,650,209,75.1,12,3,0
2019-11-09,15:00 (20:30),Matchweek 12,Sat,Home,L,1,2,Everton,0.9,1.9,46,29754.0,James Ward-Prowse,3-4-3,Paul Tierney,Match Report,,5,3,0.6,0,2.2,0.2,5,18,27.8,21,6,42.9,37.2,12,75.0,57.5,11,2,18.2,0,6.2,1,0,0,4,3,1,75.0,0.25,0.33,0.9,0.23,0.1,0.1,255,356,71.6,5113,1602,2,5,40.0,190,231,82.3,63,120,52.5,0,0.0,2,17,2,0,19,303,53,11,0,57,13,11,5,2,2,1,200,72,84,52,251,16,22,9,3,8,5,3,7,3,1,1,0,2,2,1,0,1,0,0,0,18,10,13,3,2,5,22,22.7,17,185,48,25.9,75,73,37,26,10,0,16,6,35,2,504,83,205,232,100,10,451,11,23,47.8,13,0,284,1891,1083,322,79.2,10,16,0
2019-11-23,15:00 (20:30),Matchweek 13,Sat,Away,D,2,2,Arsenal,2.6,1.8,40,60295.0,Pierre Højbjerg,4-4-2,Stuart Attwell,Match Report,,5,3,0.6,0,2.6,0.6,5,18,27.8,24,5,62.5,49.2,3,100.0,68.7,15,3,20.0,1,11.8,2,0,1,20,4,0,20.0,0.1,0.5,1.7,0.09,-0.6,0.3,257,349,73.6,4979,1984,2,12,16.7,198,233,85.0,57,104,54.8,1,1.6,15,22,8,0,42,301,48,14,1,81,12,13,8,2,5,0,209,56,84,63,240,16,20,6,1,7,13,7,30,23,2,2,1,2,3,0,1,0,1,1,0,24,14,10,9,5,7,25,28.0,18,221,62,28.1,81,93,47,25,5,0,20,13,25,0,493,66,149,210,153,33,446,9,19,47.4,11,1,278,1825,986,326,78.8,9,12,1
2019-11-30,17:30 (23:00),Matchweek 14,Sat,Home,W,2,1,Watford,1.4,0.7,63,26929.0,Pierre Højbjerg,4-4-2,Michael Oliver,Match Report,,3,2,0.667,0,1.2,0.2,7,13,53.8,19,2,57.9,47.6,3,66.7,58.0,9,1,11.1,0,20.0,2,0,0,11,5,2,45.5,0.18,0.4,1.4,0.13,0.6,0.6,468,594,78.8,9392,2728,11,26,42.3,341,405,84.2,116,163,71.2,1,1.2,6,31,10,3,45,530,64,12,0,122,14,26,6,4,2,0,362,98,134,109,391,37,41,8,2,12,4,17,16,10,0,3,0,3,4,1,0,1,0,2,0,17,9,9,3,5,9,23,39.1,14,156,57,36.5,48,65,43,11,0,0,11,11,36,2,734,57,191,372,221,23,671,24,29,82.8,25,1,483,2685,1322,546,85.7,17,15,3
2019-12-04,19:30 (01:00),Matchweek 15,Wed,Home,W,2,1,Norwich City,1.2,0.9,40,27019.0,Pierre Højbjerg,4-4-2,Kevin Friend,Match Report,,3,2,0.667,0,1.1,0.1,8,18,44.4,17,1,76.5,52.5,5,100.0,65.6,4,0,0.0,1,17.8,2,0,0,14,5,0,35.7,0.14,0.4,1.2,0.09,0.8,0.8,270,397,68.0,5484,2223,3,15,20.0,204,257,79.4,63,125,50.4,2,0.5,9,34,10,3,54,346,51,8,0,47,12,21,6,2,4,0,172,81,144,65,238,35,30,8,3,10,10,12,19,13,2,1,2,1,3,0,1,0,1,1,0,32,20,13,15,4,8,26,30.8,18,336,104,31.0,89,148,99,21,5,0,16,11,41,0,541,33,119,281,159,29,490,11,16,68.8,12,1,294,1523,739,357,75.6,11,11,3
2019-12-08,14:00 (19:30),Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,2.4,1.2,53,42303.0,Pierre Højbjerg,4-4-2,David Coote,Match Report,,6,4,0.667,0,1.6,-0.4,8,13,61.5,16,2,62.5,48.2,5,60.0,53.0,13,1,7.7,0,8.7,1,0,0,19,4,2,21.1,0.05,0.25,2.4,0.13,-1.4,-1.4,336,447,75.2,6973,2985,2,14,14.3,250,294,85.0,84,139,60.4,1,1.0,9,34,6,1,46,393,54,9,2,99,13,26,12,4,7,0,213,95,139,74,279,26,25,7,1,16,7,15,26,11,5,2,5,3,2,1,1,0,0,0,0,23,11,9,11,3,8,28,28.6,20,194,51,26.3,69,73,52,19,6,0,13,7,31,0,586,54,170,255,189,34,532,11,18,61.1,11,1,327,1810,914,422,79.6,14,7,0
2019-12-14,17:30 (23:00),Matchweek 17,Sat,Home,L,0,1,West Ham,0.9,1.0,56,27701.0,Pierre Højbjerg,4-4-2,Martin Atkinson,Match Report,,4,3,0.75,0,1.5,0.5,9,23,39.1,29,3,65.5,47.7,4,100.0,68.3,9,0,0.0,0,8.2,0,0,0,11,2,1,18.2,0.0,0.0,0.9,0.08,-0.9,-0.9,367,504,72.8,7280,2499,7,22,31.8,270,336,80.4,90,146,61.6,0,0.6,8,31,17,7,40,451,53,15,4,129,7,26,5,5,0,0,254,105,145,87,325,36,27,5,4,9,6,13,17,14,1,0,1,1,0,0,0,0,0,0,0,18,12,14,4,0,6,18,33.3,12,184,78,42.4,59,74,51,21,4,0,17,10,38,0,649,48,197,310,187,24,597,8,16,50.0,8,1,395,2425,1311,481,76.3,21,12,0
2019-12-21,15:00 (20:30),Matchweek 18,Sat,Away,W,3,1,Aston Villa,3.0,1.1,43,41834.0,Pierre Højbjerg,4-4-2,Craig Pawson,Match Report,,6,5,0.833,0,1.7,0.7,7,31,22.6,29,1,86.2,58.4,8,75.0,56.8,12,2,16.7,0,10.7,3,0,0,17,8,2,47.1,0.18,0.38,3.0,0.2,0.0,0.0,252,372,67.7,5285,2063,3,16,18.8,179,221,81.0,70,135,51.9,1,1.7,9,21,5,2,30,320,52,16,2,94,16,22,5,2,2,0,175,92,105,64,240,21,21,2,3,11,8,10,19,10,3,2,2,2,2,0,1,0,1,0,0,17,12,11,4,2,4,15,26.7,11,175,46,26.3,63,82,30,21,8,0,13,3,34,0,504,73,182,221,126,23,452,6,7,85.7,7,0,263,1630,902,329,76.6,11,12,3
